Model,Train MAE,Train RMSE,Train MAPE,Train R2,Test MAE,Test RMSE,Test MAPE,Test R2
Baseline (Mean),1.127919845323267,1.4789342667092582,63.232688208684316,0.0,1.1499851952172209,1.4793741902565525,60.04297525373437,-0.007181946058294253
Decision Tree,0.09850115788339092,0.32808014234460253,6.726832675990986,0.9507890049932679,0.3409448746805431,0.893837737758133,17.726302952374777,0.6323206574764779
Random Forest,0.2125161645002797,0.4707036151147995,13.710593977756623,0.8987028271971998,0.3911343574708323,0.7025112555870031,22.331795458377375,0.772878404196782
XGBoost,0.1681620523052612,0.35443535432510276,10.931561229036573,0.9425650393551386,0.3130788359337072,0.5649626277641849,17.674010393159424,0.8531103156170874
