store_id,sizeshop,tong_dien_tichm2,rong_ngang_m,dai_sau_m,kv_ban_hangm2,kho_m2,via_he_rongm,khai_truong_date,is_southern
CPS-DNA-TKH-313DBP,2,140.0,10.0,14.0,120.0,80.0,7.2,2024-01-24,0
CPS-HNO-DDA-133TH,4,280.0,9.92,25.0,250.0,30.0,7.4,2021-09-15,0
CPS-QNI-CPH-213TP,1,125.0,7.5,14.0,93.0,5.0,7.5,2024-10-26,0
CPS-HCM-Q12-1ANAT,3,168.0,7.0,21.5,115.5,20.0,8.0,2021-12-10,1
CPS-DNA-STR-11NVT,3,147.0,8.0,11.0,95.0,16.0,8.0,2024-09-21,0
CPS-AGI-LXG-1393THD,2,504.0,8.0,21.0,139.2,40.0,8.0,2024-07-20,1
CPS-NAN-VIN-61LL,3,221.43,12.1,99.0,185.13,30.0,9.5,2022-07-20,0
CPS-HCM-Q02-139TN,4,358.01,14.5,24.69,241.74,17.6,10.0,2021-04-16,1
CPS-HCM-Q12-17PVH,3,338.0,14.6,24.0,240.0,30.0,10.0,2022-03-20,1
CPS-DON-TBO-58BMTT,1,150.48,7.5,21.6,108.8,11.0,10.0,2025-05-24,1
CPS-HNO-AKH-42A10LTT,1,420.0,8.06,14.27,95.0,95.0,10.0,2025-07-19,0
CPS-TNG-TNG-200HVT,3,142.0,16.0,11.6,128.0,15.0,11.5,2021-12-03,0
CPS-HNO-DAN-21CL,2,128.0,12.9,11.7,117.0,11.0,15.0,2024-10-06,0
CPS-HNO-NTL-50LQD,2,167.0,18.1,7.0,87.0,80.0,15.0,2025-03-21,0
CPS-HTI-HTI-81TP,1,135.0,10.0,13.5,100.0,17.0,135.0,2024-06-16,0
