store_id,YearMonth,planogram_score,err_electronic_price_board,err_basic,err_display,err_posm,err_operations,err_advisory_partition
CPS-AGI-LXG-1393THD,2025-10,0.765375854214123,0.4166666666666667,0.2377049180327869,0.1477272727272727,0.09278350515463918,0.4,0.0
CPS-AGI-LXG-912THD,2025-10,0.8781512605042017,0.2222222222222222,0.1061946902654867,0.088,0.1067961165048544,0.06666666666666667,0.0
CPS-BDI-QNH-669THD,2025-10,0.7551963048498845,0.4333333333333333,0.2524271844660194,0.2252252252252252,0.1290322580645161,0.1333333333333333,0.0
CPS-BDU-DAN-253NAN,2025-10,0.7659090909090909,0.3723404255319149,0.2894736842105263,0.13,0.1666666666666667,0.1666666666666667,0.1666666666666667
CPS-BDU-TAN-100NVT,2025-10,0.7917570498915402,0.3645833333333333,0.2336448598130841,0.1382113821138211,0.1515151515151515,0.1,0.1666666666666667
CPS-BDU-TAN-63HHMH,2025-10,0.7829977628635347,0.4891304347826087,0.3018867924528302,0.1367521367521368,0.02083333333333333,0.06666666666666667,0.0
CPS-BDU-TAU-156DT747,2025-10,0.7788461538461539,0.5238095238095238,0.2842105263157895,0.1401869158878505,0.01111111111111111,0.1470588235294118,0.0
CPS-BDU-TDM-183PL,2025-10,0.810752688172043,0.2947368421052631,0.3557692307692308,0.08661417322834646,0.0707070707070707,0.1470588235294118,0.0
CPS-BDU-TDM-427DLBD,2025-10,0.7367424242424242,0.4821428571428572,0.3538461538461539,0.1470588235294118,0.1228070175438596,0.1666666666666667,0.0
CPS-BGI-BGI-135HV,2025-10,0.7410071942446043,0.3488372093023256,0.3,0.26,0.1538461538461539,0.2352941176470588,0.0
CPS-BLI-BLI-289TP,2025-10,0.7596153846153846,0.367816091954023,0.2358490566037736,0.3076923076923077,0.07608695652173914,0.2352941176470588,0.0
CPS-BNI-BNI-334THD,2025-10,0.7408207343412527,0.4639175257731959,0.2892561983471074,0.212962962962963,0.1386138613861386,0.1,0.0
CPS-BNI-TSO-242TP,2025-10,0.7357630979498861,0.4555555555555555,0.3238095238095238,0.1909090909090909,0.1808510638297872,0.08823529411764706,0.0
CPS-BPH-DXO-968PRD,2025-10,0.7052896725440806,0.6511627906976745,0.3611111111111111,0.2025316455696203,0.02272727272727273,0.1333333333333333,0.0
CPS-BRI-BRI-31NHT,2025-10,0.5995475113122172,0.5652173913043478,0.4144144144144144,0.3009708737864077,0.3020833333333333,0.5588235294117647,0.0
